date,1. open,2. high,3. low,4. close,5. volume,Company,Symbol
2025-07-30,1417.95,1423.25,1401.35,1409.9,317685.0,Reliance Industries,RELIANCE.BSE
2025-07-29,1383.5,1420.95,1383.5,1417.95,1026138.0,Reliance Industries,RELIANCE.BSE
2025-07-28,1392.1,1407.1,1385.0,1387.3,534884.0,Reliance Industries,RELIANCE.BSE
2025-07-25,1401.95,1401.95,1384.5,1392.1,385434.0,Reliance Industries,RELIANCE.BSE
2025-07-24,1420.0,1422.05,1396.45,1402.65,332776.0,Reliance Industries,RELIANCE.BSE
2025-07-23,1426.9,1426.9,1414.85,1424.5,462898.0,Reliance Industries,RELIANCE.BSE
2025-07-22,1433.2,1433.2,1410.45,1412.8,1522399.0,Reliance Industries,RELIANCE.BSE
2025-07-21,1474.95,1474.95,1423.05,1428.2,1557147.0,Reliance Industries,RELIANCE.BSE
2025-07-18,1482.1,1485.05,1469.0,1476.85,357136.0,Reliance Industries,RELIANCE.BSE
2025-07-17,1490.25,1490.35,1474.0,1477.1,186828.0,Reliance Industries,RELIANCE.BSE
2025-07-16,1472.0,1490.9,1472.0,1485.75,130747.0,Reliance Industries,RELIANCE.BSE
2025-07-15,1485.1,1496.05,1482.2,1484.9,892769.0,Reliance Industries,RELIANCE.BSE
2025-07-14,1494.45,1499.95,1479.35,1484.6,2020839.0,Reliance Industries,RELIANCE.BSE
2025-07-11,1512.2,1513.95,1490.1,1494.85,344599.0,Reliance Industries,RELIANCE.BSE
2025-07-10,1519.05,1524.85,1507.4,1517.2,458958.0,Reliance Industries,RELIANCE.BSE
2025-07-09,1531.05,1551.0,1510.0,1519.05,548141.0,Reliance Industries,RELIANCE.BSE
2025-07-08,1535.0,1545.6,1530.25,1538.8,1461338.0,Reliance Industries,RELIANCE.BSE
2025-07-07,1525.25,1544.5,1525.25,1541.2,392104.0,Reliance Industries,RELIANCE.BSE
2025-07-04,1521.0,1529.5,1517.25,1527.4,487883.0,Reliance Industries,RELIANCE.BSE
2025-07-03,1518.75,1531.7,1512.7,1518.95,168578.0,Reliance Industries,RELIANCE.BSE
2025-07-02,1529.9,1530.0,1508.95,1518.25,284423.0,Reliance Industries,RELIANCE.BSE
2025-07-01,1500.65,1531.2,1500.65,1528.3,2842857.0,Reliance Industries,RELIANCE.BSE
2025-06-30,1516.05,1524.95,1496.4,1500.65,439730.0,Reliance Industries,RELIANCE.BSE
2025-06-27,1498.05,1521.7,1497.1,1516.05,340711.0,Reliance Industries,RELIANCE.BSE
2025-06-26,1469.95,1498.7,1465.1,1495.2,366253.0,Reliance Industries,RELIANCE.BSE
2025-06-25,1462.05,1472.0,1460.15,1467.25,143268.0,Reliance Industries,RELIANCE.BSE
2025-06-24,1466.75,1475.0,1443.3,1450.05,3665221.0,Reliance Industries,RELIANCE.BSE
2025-06-23,1442.7,1463.0,1442.0,1456.35,289434.0,Reliance Industries,RELIANCE.BSE
2025-06-20,1430.0,1470.0,1428.1,1464.65,690290.0,Reliance Industries,RELIANCE.BSE
2025-06-19,1430.0,1439.85,1426.0,1433.65,702530.0,Reliance Industries,RELIANCE.BSE
2025-06-18,1430.0,1443.0,1425.55,1429.85,277714.0,Reliance Industries,RELIANCE.BSE
2025-06-17,1438.0,1446.0,1425.8,1431.3,2874904.0,Reliance Industries,RELIANCE.BSE
2025-06-16,1425.05,1441.9,1425.0,1438.55,350578.0,Reliance Industries,RELIANCE.BSE
2025-06-13,1420.0,1435.35,1414.0,1427.65,313642.0,Reliance Industries,RELIANCE.BSE
